total_crashes,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,pedestrian_injured,pedestrian_killed,persons_injured,persons_killed,year_month,council
271,13,0,26,0,19,0,58,0,2017-04,2
634,17,0,48,0,27,0,92,0,2017-04,3
598,27,0,50,0,28,0,105,0,2017-04,4
199,6,0,23,0,2,1,31,1,2017-04,5
246,2,0,20,0,7,0,29,0,2017-04,6
171,6,0,20,0,7,0,33,0,2017-04,7
450,5,0,73,0,24,0,102,0,2017-04,8
245,7,0,45,1,9,0,61,1,2017-04,9
216,4,0,24,0,10,0,38,0,2017-04,10
240,1,0,56,1,6,0,63,1,2017-04,11
244,2,0,66,0,9,0,77,0,2017-04,12
313,1,0,99,1,9,0,109,1,2017-04,13
255,3,0,70,0,20,0,93,0,2017-04,14
300,4,0,79,0,14,0,97,0,2017-04,15
219,4,0,37,0,12,0,53,0,2017-04,16
349,7,0,85,1,17,0,109,1,2017-04,17
218,1,0,31,0,15,0,47,0,2017-04,18
331,1,0,58,0,11,0,70,0,2017-04,19
342,5,0,50,0,15,0,70,0,2017-04,20
248,11,0,37,0,10,0,58,0,2017-04,21
278,6,0,34,0,9,0,49,0,2017-04,22
326,1,0,98,0,3,0,102,0,2017-04,23
286,2,0,58,1,8,0,68,1,2017-04,24
197,7,0,21,0,12,0,40,0,2017-04,25
417,13,1,87,0,9,0,109,1,2017-04,26
316,4,0,109,0,14,0,127,0,2017-04,27
387,2,0,111,1,14,0,127,1,2017-04,28
268,1,0,42,0,11,0,54,0,2017-04,29
297,5,0,67,0,9,0,81,0,2017-04,30
354,0,0,101,0,8,0,109,0,2017-04,31
266,4,0,62,0,13,0,79,0,2017-04,32
453,11,0,65,1,24,0,100,1,2017-04,33
345,20,0,65,0,19,1,104,1,2017-04,34
260,9,0,34,0,10,0,53,0,2017-04,35
211,11,0,54,0,18,0,83,0,2017-04,36
284,1,0,50,1,11,0,62,1,2017-04,37
318,3,0,49,0,13,0,65,0,2017-04,38
326,11,0,78,0,13,0,102,0,2017-04,39
215,14,0,61,0,15,0,90,0,2017-04,40
226,4,0,66,0,10,0,80,0,2017-04,41
326,1,0,72,0,16,0,89,0,2017-04,42
265,4,0,27,0,10,1,41,1,2017-04,43
197,5,0,25,0,10,0,40,0,2017-04,44
